ingredient_name,rating,functions,link
3-O Ethyl Ascorbic Acid,BEST,"This potent antioxidant is a highly stable form of vitamin C that improves skin tone, helps fade discolorations, and visibly firms skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-3-o-ethyl-ascorbic-acid.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acai,BEST,"Pronounced ""ah-sigh-ee"", this small berry has a deep purple color and is a rich source of antioxidants.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acai.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acerola Fruit Extract,BEST,This fruit extract is a potent source of antioxidants and hydrating polysaccharides.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-acerola-fruit-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Carnitine HCL,BEST,Functions as an antioxidant.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-carnitine-hcl.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Dipeptide-1 Cetyl Ester,BEST,"A lab-made skin-firming peptide formed from a reaction between acetic acid, cetyl alcohol, and dipeptide-1, which contains the amino acids arginine and tyrosine.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-dipeptide-1-cetyl-ester.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Glucosamine,BEST,Antioxidant known to help visibly fade discolorations and soothe skin. It also helps skin naturally produce its own hyaluronic acid content.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-glucosamine.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Hexapeptide-1,BEST,"Acetyl hexapeptide-1 is a synthetic peptide composed of the amino acids alanine, arginine, histidine, leucine, phenylalanine and tryptophan.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-hexapeptide-1.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Hexapeptide-37,BEST,"This synthetic peptide is composed of amino acids (alanine, proline, serine, and glycine). It works to help skin’s layers maintain adequate hydration.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-hexapeptide-37.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Hexapeptide-8,BEST,"One of several peptides used in skin care products, this ingredient has skin-restoring and water-binding properties, helping it improve both the look and feel of skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-hexapeptide-8.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl sh-Hexapeptide-5 Amide Acetate,BEST,"Often called simply ""hexapeptide-5"", this peptide is derived from the versatile protein versican, which plays a role in skin’s extracellular matrix. Topical use promotes a firmer look and feel.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-sh-hexapeptide-5-amide-acetate.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Tetrapeptide-11,BEST,Acetyl tetrapeptide-11 is a synthetic peptide that helps skin look and feel healthier.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-tetrapeptide-11.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Tetrapeptide-5,BEST,"Acetyl tetrapeptide-5 is a synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-tetrapeptide-5.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Tetrapeptide-9,BEST,Acetyl tetrapeptide-9 is a synthetic peptide that helps visibly restore skin's natural support.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-tetrapeptide-9.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Acetyl Zingerone,BEST,"This ginger-derived antioxidant offers a long list of benefits to skin, mostly around offsetting the visible impact of environmental exposure and helping to visibly repair past damage.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-zingerone.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Achillea Millefolium Extract,BEST,"This ingredient, also known as yarrow extract, has antioxidant and calming properties for skin.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-achillea-millefolium-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Actinidia Chinensis (Kiwi) Fruit Extract,BEST,"Actinidia chinensis (kiwi) fruit extract is an excellent source of antioxidants, including vitamin C.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-actinidia-chinensis-kiwi-fruit-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Active Ingredient,BEST,Indicates an ingredient is regulated and approved to perform a specific skin care function.,https://www.paulaschoice.com/ingredient-dictionary/ingredient-active-ingredient.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
Adansonia Digitata Seed Extract,BEST,"Plant extract from the baobab tree, rich in skin-nourishing amino acids and fatty acids, as well as phenolic and flavonoid compounds that exhibit strong antioxidant benefits.",https://www.paulaschoice.com/ingredient-dictionary/ingredient-adansonia-digitata-seed-extract.html?csortb1=ingredientNotRated&csortb2=ingredientRating&csortb3=name&csortd1=1&csortd2=2&csortd3=1&sz=2000&fdid=ingredients&start=0
