Label,Brand,Name,Price,Rank,Combination,Dry,Normal,Oily,Sensitive,ingredient,paula_description,good_for,bad_for,effect_stem,effect_type,Combination_effect,Dry_effect,Normal_effect,Oily_effect,Sensitive_effect
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Algae (Seaweed) Extract,,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Mineral Oil,"Clear, odorless oil derived from petroleum that is widely used in cosmetics.",clear,,clear,good,1.0,0.0,1.0,1.0,0.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Petrolatum,Widely considered one of the best and gentlest options for dry skin so it's often used in moisturizers and balms. It is highly purified and is safe as used in cosmetics.,moistur,,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Glycerin,A naturally occurring substance in skin that helps retain moisture. It is used in skin care products to help defend against dryness.,moistur,,moistur,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Isohexadecane,"Multitasking ingredient that plays various roles including cleansing agent, solvent, texture enhancer, and skin-conditioning agent. Imparts a non-greasy, lightweight, silky feel.",,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Microcrystalline Wax,Used as a thickener and to give products a semi-solid to solid smooth texture. Utilized most abundantly in lip care products.,smooth,,smooth,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Lanolin Alcohol,Emollient derived from lanolin.,emollient,,emollient,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Citrus Aurantifolia (Lime) Extract,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.,,,,,,,,,
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Sesamum Indicum (Sesame) Seed Oil,"Non-fragrant plant oil that is a good source of monounsaturated and polyunsaturated fats along with vitamin E and lignans, antioxidant compounds with a calming effect on skin. Moisturizes skin by preventing water loss from its uppermost layers.","antioxidant,calm,moistur",,antioxidant,good,1.0,1.0,1.0,1.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Sesamum Indicum (Sesame) Seed Oil,"Non-fragrant plant oil that is a good source of monounsaturated and polyunsaturated fats along with vitamin E and lignans, antioxidant compounds with a calming effect on skin. Moisturizes skin by preventing water loss from its uppermost layers.","antioxidant,calm,moistur",,calm,good,1.0,1.0,1.0,0.0,1.0
Moisturizer,LA MER,Crème de la Mer,175,4.1,1,1,1,1,1,Sesamum Indicum (Sesame) Seed Oil,"Non-fragrant plant oil that is a good source of monounsaturated and polyunsaturated fats along with vitamin E and lignans, antioxidant compounds with a calming effect on skin. Moisturizes skin by preventing water loss from its uppermost layers.","antioxidant,calm,moistur",,moistur,good,1.0,1.0,1.0,0.0,1.0
