ingredient,in_skin_map,in_incidecoder,skin_types,effect,confidence,inci_source,inci_slug,inci_what_it_does,inci_details
"""active ingredient",1,0,oily; pigmentation; wrinkle,good,low,,,,
"""desert milk"" and beta-glucan",1,0,dry; sensitive; wrinkle,good,low,,,,
#14375 a hydrogenated polyisobutene,1,0,dry,good,low,,,,
#name?,1,1,,neutral,low,INCI Decoder,palmitoyl-hexapeptide-12,,"A six amino acid peptide that is claimed to improve firmness and skin tone . Its amino acid sequence is Val-Gly-Val-Ala-Pro-Gly that is also called the ""spring fragment"" and is repeated six times in the important skin protein, elastin molecule. The manufacturer made a double-blind, one-month long clinical study on 10 women and found that twice a day application of 4%  Biopeptide El improved skin firmness by 33% and skin tone by 20%.  [more]"
'diisostearyl malate,1,0,dry,good,low,,,,
(+/ -),1,0,normal,neutral,low,,,,
(+/-),1,0,normal,neutral,low,,,,
(menthol derivative),1,0,normal,neutral,low,,,,
(microcrystalline cellulose,1,0,oily; wrinkle,good,low,,,,
) 4,1,0,normal,neutral,low,,,,
) 6,1,0,normal,neutral,low,,,,
) seed extract other ingredients,1,0,normal,good,low,,,,
* -ashwagandha,1,0,sensitive; wrinkle,good,low,,,,
* -curcumin,1,0,sensitive; wrinkle,good,low,,,,
* -tocotrienol complex,1,0,pigmentation; wrinkle,good,low,,,,
+,1,0,normal,neutral,low,,,,
+alchemilla vulgaris leaf extract,1,0,dry; wrinkle,good,low,,,,
+fragrance,1,0,sensitive,avoid,medium,,,,
- 5 essential ceramides (ag,1,0,dry; sensitive,good,medium,,,,
- beautyberry,1,0,normal,neutral,low,,,,
-10 percent triple acid blend (glycolic,1,0,oily; pigmentation,good,medium,,,,
-10% ahas (glycolic,1,0,oily; pigmentation,good,medium,,,,
-100 percent sugarcane-derived squalane,1,0,dry,good,medium,,,,
-15% blend of azelaic,1,0,oily; pigmentation,good,medium,,,,
-20% l-ascorbic acid,1,0,pigmentation; wrinkle,good,medium,,,,
