canonical_name,store,source_url,price,currency,rating,review_count,in_stock,fetched_at
anua-heartleaf-77-toner,Sephora,https://www.sephora.com/product/P000000,24.00,USD,4.6,12840,1,2026-04-08T18:00:00Z
anua-heartleaf-77-toner,Olive Young,https://global.oliveyoung.com/product/P000000,19.50,USD,4.7,9200,1,2026-04-08T17:30:00Z
beauty-of-joseon-glow-serum,Sephora,https://www.sephora.com/product/P000001,17.00,USD,4.5,6720,1,2026-04-08T18:00:00Z
beauty-of-joseon-glow-serum,Olive Young,https://global.oliveyoung.com/product/P000001,14.20,USD,4.8,15400,1,2026-04-08T17:30:00Z
lrp-cicaplast-b5,Sephora,https://www.sephora.com/product/P000002,18.00,USD,4.8,21000,1,2026-04-08T18:00:00Z
lrp-cicaplast-b5,Olive Young,https://global.oliveyoung.com/product/P000002,16.80,USD,4.7,3100,1,2026-04-08T17:30:00Z
cosrx-snail-96-essence,Sephora,https://www.sephora.com/product/P000003,25.00,USD,4.7,18900,1,2026-04-08T18:00:00Z
cosrx-snail-96-essence,Olive Young,https://global.oliveyoung.com/product/P000003,18.90,USD,4.8,42000,1,2026-04-08T17:30:00Z
krave-great-barrier-relief,Sephora,https://www.sephora.com/product/P000004,28.00,USD,4.4,4100,1,2026-04-08T18:00:00Z
krave-great-barrier-relief,Olive Young,https://global.oliveyoung.com/product/P000004,26.50,USD,4.5,890,1,2026-04-08T17:30:00Z
purito-centella-serum,Olive Young,https://global.oliveyoung.com/product/P000005,15.00,USD,4.6,5600,1,2026-04-08T17:30:00Z
roundlab-dokdo-toner,Olive Young,https://global.oliveyoung.com/product/P000006,12.00,USD,4.7,12000,1,2026-04-08T17:30:00Z
somebymi-30days-toner,Olive Young,https://global.oliveyoung.com/product/P000007,13.50,USD,4.5,8900,1,2026-04-08T17:30:00Z
isntree-sun-gel,Sephora,https://www.sephora.com/product/P000008,15.00,USD,4.3,2200,1,2026-04-08T18:00:00Z
isntree-sun-gel,Olive Young,https://global.oliveyoung.com/product/P000008,11.90,USD,4.7,15000,1,2026-04-08T17:30:00Z
torriden-dive-in-serum,Olive Young,https://global.oliveyoung.com/product/P000009,16.00,USD,4.8,7800,1,2026-04-08T17:30:00Z
medicube-super-cica-toner,Olive Young,https://global.oliveyoung.com/product/P000010,22.00,USD,4.5,1200,1,2026-04-08T17:30:00Z
drjart-cicapair-cct,Sephora,https://www.sephora.com/product/P000011,52.00,USD,4.2,9800,1,2026-04-08T18:00:00Z
drjart-cicapair-cct,Olive Young,https://global.oliveyoung.com/product/P000011,44.00,USD,4.4,2100,1,2026-04-08T17:30:00Z
paulas-choice-bha,Sephora,https://www.sephora.com/product/P000012,35.00,USD,4.7,45000,1,2026-04-08T18:00:00Z
ordinary-niacinamide,Sephora,https://www.sephora.com/product/P000013,6.80,USD,4.4,56000,1,2026-04-08T18:00:00Z
laneige-sleeping-mask,Sephora,https://www.sephora.com/product/P000014,32.00,USD,4.6,31000,1,2026-04-08T18:00:00Z
laneige-sleeping-mask,Olive Young,https://global.oliveyoung.com/product/P000014,27.00,USD,4.7,8900,1,2026-04-08T17:30:00Z
innisfree-green-tea-serum,Sephora,https://www.sephora.com/product/P000015,27.00,USD,4.5,5600,1,2026-04-08T18:00:00Z
innisfree-green-tea-serum,Olive Young,https://global.oliveyoung.com/product/P000015,21.00,USD,4.6,4200,1,2026-04-08T17:30:00Z
hada-labo-gokujyun-lotion,Olive Young,https://global.oliveyoung.com/product/P000016,14.00,USD,4.8,6700,1,2026-04-08T17:30:00Z
vanicream-daily-moisturizer,Sephora,https://www.sephora.com/product/P000017,15.50,USD,4.7,8200,1,2026-04-08T18:00:00Z
cerave-pm-lotion,Sephora,https://www.sephora.com/product/P000018,18.00,USD,4.8,29000,1,2026-04-08T18:00:00Z
good-molecules-niacinamide,Sephora,https://www.sephora.com/product/P000019,8.00,USD,4.3,4100,1,2026-04-08T18:00:00Z
