brand,product_name,canonical_name,category,size,image_url
Anua,Heartleaf 77% Soothing Toner,anua-heartleaf-77-toner,toner,250ml,
Beauty of Joseon,Glow Deep Serum: Rice + Alpha-Arbutin,beauty-of-joseon-glow-serum,serum,30ml,
La Roche-Posay,Cicaplast Baume B5,lrp-cicaplast-b5,cream,100ml,
COSRX,Advanced Snail 96 Mucin Power Essence,cosrx-snail-96-essence,essence,100ml,
KraveBeauty,Great Barrier Relief,krave-great-barrier-relief,serum,45ml,
Purito,Centella Unscented Serum,purito-centella-serum,serum,60ml,
Round Lab,1025 Dokdo Toner,roundlab-dokdo-toner,toner,200ml,
Some By Mi,AHA BHA PHA 30 Days Miracle Toner,somebymi-30days-toner,toner,150ml,
Isntree,Hyaluronic Acid Watery Sun Gel,isntree-sun-gel,sunscreen,50ml,
Torriden,DIVE-IN Low Molecule Hyaluronic Acid Serum,torriden-dive-in-serum,serum,50ml,
Medicube,Super Cica Calming Toner,medicube-super-cica-toner,toner,210ml,
Dr.Jart+,Cicapair Tiger Grass Color Correcting Treatment,drjart-cicapair-cct,treatment,50ml,
Paula's Choice,2% BHA Liquid Exfoliant,paulas-choice-bha,exfoliant,118ml,
The Ordinary,Niacinamide 10% + Zinc 1%,ordinary-niacinamide,serum,30ml,
Laneige,Water Sleeping Mask EX,laneige-sleeping-mask,mask,70ml,
Innisfree,Green Tea Seed Serum,innisfree-green-tea-serum,serum,80ml,
Hada Labo,Gokujyun Premium Lotion,hada-labo-gokujyun-lotion,toner,170ml,
Vanicream,Daily Facial Moisturizer,vanicream-daily-moisturizer,moisturizer,89ml,
CeraVe,PM Facial Moisturizing Lotion,cerave-pm-lotion,moisturizer,89ml,
Good Molecules,Niacinamide Serum,good-molecules-niacinamide,serum,30ml,
