ingredient,skin_type,effect,confidence
(+/ -),normal,neutral,low
(+/-),normal,neutral,low
(menthol derivative),normal,neutral,low
) 4,normal,neutral,low
) 6,normal,neutral,low
* -ashwagandha,"wrinkle,sensitive",good,low
* -tocotrienol complex,"pigmentation,wrinkle",good,low
+,normal,neutral,low
+fragrance,sensitive,avoid,medium
- 5 essential ceramides (ag,"dry,sensitive",good,medium
- beautyberry,normal,neutral,low
-10 percent triple acid blend (glycolic,"oily,pigmentation",good,medium
-10% ahas (glycolic,"oily,pigmentation",good,medium
-100 percent sugarcane-derived squalane,dry,good,medium
-15% blend of azelaic,"oily,pigmentation",good,medium
-20% l-ascorbic acid,"pigmentation,wrinkle",good,medium
-aha blend (glycolic,"oily,pigmentation",good,medium
-aha blend glycolic + tartaric,"oily,pigmentation",good,medium
-ahas (from bluberry,"oily,pigmentation",good,low
-ahas + fruit enzymes (pomegranate,"oily,pigmentation",good,low
-alpha hydroxy acids (glycolic acid,"oily,pigmentation",good,medium
-avocado,dry,good,low
-charcoal -snow lotus,oily,good,low
-cocoa butter,dry,good,low
-complex of balloon vine,normal,neutral,low
-complex of cardiospermum,normal,neutral,low
-coq10,"pigmentation,wrinkle",good,low
-enzymatically activated oils of olive,dry,good,low
-epimedium,normal,neutral,low
-essential oils of sage,dry,good,low
-essential oils of sandalwood,dry,good,low
-four types of hyaluronic acid,"dry,sensitive",good,medium
-full-spectrum,normal,neutral,low
-ginseng -olive oil,dry,good,low
-glow plus complex (acerola seed,"wrinkle,pigmentation",good,low
-glycerin,"dry,sensitive",good,medium
-glycolic acid and time-released,"oily,pigmentation",good,medium
-grapeseed,"pigmentation,wrinkle",good,low
-ha spheres,normal,neutral,low
-hyaluronic acid,"dry,sensitive",good,medium
-hyaluronic acid -ceramide,"dry,sensitive",good,medium
-hyaluronic acid -sea kelp -avocado oil aqua,dry,good,low
-hyaluronic acids water aqua eau,"dry,sensitive",good,medium
-jojoba oil -bifidus extract,dry,good,low
-kalahari melon,"oily,pigmentation",good,low
-kombu-bounce complex (green,normal,neutral,low
-ligustrum lucidum seed,normal,neutral,low
-mango,dry,good,low
-matrixyl,wrinkle,good,low
-meadowfoam,dry,good,low
-meltingpoint complex (mango seed butter,dry,good,low
-micro-exfoliating minerals (quartz,,neutral,low
-niacinamide -pumpkin seed extract -caffeine aqua,"oily,pigmentation",good,medium
-nourishing blend of shea,normal,neutral,low
-nurturing four-oil blend (jojoba,dry,good,low
-nutrient blend,normal,neutral,low
-oil-free,dry,good,low
-omega fatty acids (3,"dry,wrinkle",good,low
-omega-3,"dry,wrinkle",good,low
-omegas 3,"dry,wrinkle",good,low
-organic agropyron,normal,neutral,low
-papaya,"oily,pigmentation",good,low
-patented,normal,neutral,low
-pearl extract -niacinamide,"oily,pigmentation",good,medium
-pha,"oily,pigmentation",good,medium
-pre-,normal,neutral,low
-prebiotic lactic acid,"oily,pigmentation,dry",good,medium
-proprietary,normal,neutral,low
-pure vitamin c,"pigmentation,wrinkle",good,medium
-raspberry seed oil,dry,good,low
-resveratrol and vitamin c,"pigmentation,wrinkle",good,medium
-retinoid,normal,neutral,low
-retinoid complex 65% (retinol,wrinkle,good,medium
-retinol -vitamin c,wrinkle,good,medium
-rhodiola,"wrinkle,sensitive",good,low
-rosewood,"dry,sensitive",good,low
-salicylic,oily,good,medium
-salicylic acid 1% water,oily,good,medium
-salicylic acid 2% water,oily,good,medium
-seven luxurious oils (kalahari melon,"oily,pigmentation",good,low
-shatavari,"dry,sensitive",good,low
-shea butter,dry,good,low
-shilajit,normal,neutral,low
-skin quenching oil blend (coconut,dry,good,low
-sodium hyaluronate -shea butter water\aqua\eau,"dry,sensitive",good,medium
-squalane -glycerin -snow mushroom aqua,dry,good,medium
-sunflower,dry,good,low
-sunflower seed cake,dry,good,low
-thin layers of silk (fibroin,normal,neutral,low
-three oil-soluble peptides (palmitoyl hexapeptide-12,wrinkle,good,low
-titanium dioxide -zinc oxide cyclopentasiloxane,sensitive,good,medium
-triple peptide blend (oligopeptide,wrinkle,good,low
-ultra-hydration blend (ceramides,"dry,sensitive",good,medium
-vitamin e,"pigmentation,wrinkle",good,low
-vitamins a,"wrinkle,pigmentation",good,low
-vitamins b,"wrinkle,pigmentation",good,low
-vitamins b3,"wrinkle,pigmentation",good,low
-volcanic,normal,neutral,low
-wild juneberry (from jackson hole,normal,neutral,low
-zinc oxide,sensitive,good,medium
1 peeling peptide,wrinkle,good,low
"1,2 hexanedio",normal,neutral,low
100 percent mineral zinc oxide,sensitive,good,medium
100 percent pure argan oil,dry,good,low
15 percent vitamin c,"pigmentation,wrinkle",good,medium
15 super-greens complex,normal,neutral,low
2 fatty acids,normal,neutral,low
24k gold,,neutral,low
3 weights of hyaluronic acid,"dry,sensitive",good,medium
3-0-ethylascorbic acid,"pigmentation,wrinkle",good,medium
3-ceramide blend,"dry,sensitive",good,medium
3-o-ethyl ascorbic acid,"pigmentation,wrinkle",good,medium
3-oethyl ascorbic acid,"pigmentation,wrinkle",good,medium
3-plant ceramides,"dry,sensitive",good,medium
300+ types of natural peptides,wrinkle,good,low
3x ceramides,"dry,sensitive",good,medium
4 peptide proteins,wrinkle,good,low
4 weights of hyaluronic acid,"dry,sensitive",good,medium
4d hyaluronic acid,"dry,sensitive",good,medium
5 peptides,wrinkle,good,low
5-flower oil blend,dry,good,low
500 and 50 kda),normal,neutral,low
5kda hyaluronic acid,"dry,sensitive",good,medium
6-butterlipid complex,normal,neutral,low
6324f21a-9a5a-4f15-8a0a-5d08edd640f1,normal,neutral,low
7) synergen skin complex,normal,neutral,low
7-acid blend of ahas bha pha,"oily,pigmentation",good,medium
77491,normal,neutral,low
