ingredient,skin_type,effect,confidence
15 alkane-c13,normal,neutral,low
2 g fruiting body tremella fuciformis 1,dry,good,low
24k gold and colloidal gold,,neutral,low
3) -maca,normal,neutral,low
all-mineral broad-spectrum spf 45,,neutral,low
and -0 and vitamins b3,"wrinkle,pigmentation",good,low
and matrixyl synthe'6,wrinkle,good,low
and omega 3,"dry,wrinkle",good,low
and vitamins b1,"wrinkle,pigmentation",good,low
antioxidant coq10,"pigmentation,wrinkle",good,low
black 2,normal,neutral,low
blue 4,normal,neutral,low
broad-spectrum spf 45,"sensitive,pigmentation",good,low
burdock 4,normal,neutral,low
butylphenyl methylpropionalc15,normal,neutral,low
c12-13 pareth-23,normal,neutral,low
c12-13 pareth-9,normal,neutral,low
c20-40 pareth-10,normal,neutral,low
c20-40 pareth-3,normal,neutral,low
ci 15985 (yellow 6,normal,neutral,low
ci 19140 yellow5,normal,neutral,low
ci15985 yellow 6 [s0372g],normal,neutral,low
diisopropyladipate 6938-94-9,normal,neutral,low
fd&c blue no 1,normal,neutral,low
fd&c blue no 1 ci 42090,normal,neutral,low
fd&c green no 3,normal,neutral,low
fd&c yellow no 5 ci 19140,normal,neutral,low
fd&c yellow no 6,normal,neutral,low
fd&c yellow no 6 ci 15985,normal,neutral,low
glycerth-26,normal,neutral,low
ha4,normal,neutral,low
laureth- 7,normal,neutral,low
laureth-10,normal,neutral,low
laureth-21,normal,neutral,low
laureth-9,normal,neutral,low
mineral spf,,neutral,low
mineral spf 50,,neutral,low
nonoxynol-10,normal,neutral,low
octyldodeceth-25,normal,neutral,low
octylododeceth-16,normal,neutral,low
oleth-2,normal,neutral,low
omega-3,"dry,wrinkle",good,low
omega-9,"dry,wrinkle",good,low
omegas 3,"dry,wrinkle",good,low
omegas 3 and 6,"dry,wrinkle",good,low
organic-7,normal,neutral,low
packette 2,normal,neutral,low
phenoxyethanol* hadasei-3,,neutral,low
polox- amer 407,normal,neutral,low
ppg-8 ceteth-20,normal,neutral,low
red lake 40,normal,neutral,low
royal epigen p5,normal,neutral,low
silicone quaternium-8,,neutral,low
steareth-30,normal,neutral,low
steareth-4,normal,neutral,low
super-veil 360,normal,neutral,low
violet no2,normal,neutral,low
yellow 10 ci 47005,normal,neutral,low
